625,507,2,2
626,507,3,19
628,509,1,0
629,509,2,4
635,515,1,0
636,515,2,38
637,516,1,0
638,516,2,6
651,529,1,0
652,529,2,3
653,529,3,27
655,531,1,0
656,531,2,7
676,551,1,0
677,551,2,13
683,557,1,0
684,557,2,9
695,568,1,0
696,568,2,7
703,575,1,0
704,575,2,15
706,577,1,0
707,577,2,7
709,579,1,0
710,579,2,4
714,583,1,0
715,583,2,40
717,585,1,0
718,585,2,4
720,587,1,0
721,587,2,14
722,587,3,22
735,600,1,0
736,600,2,27
740,604,1,0
741,604,2,7
742,605,1,0
743,605,2,3
744,605,3,4
745,606,1,0
746,606,2,2
747,606,3,5
761,620,1,0
762,620,2,5
774,632,1,0
775,632,2,5
776,632,3,25
778,634,1,0
779,634,2,55
783,638,1,0
784,638,2,6
788,642,1,0
789,642,2,1
790,643,1,0
791,643,2,9
792,644,1,0
793,644,2,7
804,655,1,0
805,655,2,1
806,655,3,5
808,657,1,0
809,657,2,7
829,677,1,0
830,677,2,24
844,691,1,0
845,691,2,4
846,691,3,2
849,694,1,0
850,694,2,30
856,700,1,0
857,700,2,3
865,708,1,0
866,708,2,28
868,710,1,0
869,710,2,2
880,721,1,0
881,721,2,3
884,724,1,0
885,724,2,2
886,724,3,1
887,725,1,0
888,725,2,4
892,729,1,0
893,729,2,7
912,748,1,0
913,748,2,44
916,751,1,0
917,751,2,14
922,756,1,0
923,756,2,42
924,757,1,0
925,757,2,8
926,757,3,38
927,757,4,3
929,759,1,0
930,759,2,34
934,763,1,0
935,763,2,18
943,771,1,0
944,771,2,13
948,775,1,0
949,775,2,33
950,776,1,0
951,776,2,16
957,782,1,0
958,782,2,8
961,785,1,0
962,785,2,2
967,790,1,0
968,790,2,15
980,802,1,0
981,802,2,13
982,803,1,0
983,803,2,4
987,807,1,0
988,807,2,49
990,809,1,0
991,809,2,40
999,817,1,0
1000,817,2,26
1002,819,1,0
1003,819,2,1
1005,821,1,0
1006,821,2,31
1008,823,1,0
1009,823,2,13
1010,824,1,0
1011,824,2,42
1016,829,1,0
1017,829,2,11
1019,831,1,0
1020,831,2,17
1021,831,3,7
1022,831,4,4
1027,836,1,0
1028,836,2,29
1029,836,3,9
1030,837,1,0
1031,837,2,8
1039,845,1,0
1040,845,2,21
1044,849,1,0
1045,849,2,1
1046,850,1,0
1047,850,2,25
1055,858,1,0
1056,858,2,2
1059,861,1,0
1060,861,2,39
1061,862,1,0
1062,862,2,35
1063,862,3,4
1069,868,1,0
1070,868,2,10
1071,868,3,16
1077,874,1,0
1078,874,2,5
1079,874,3,16
1085,880,1,0
1086,880,2,21
1087,880,3,16
1089,882,1,0
1090,882,2,44
1106,898,1,0
1107,898,2,1
1108,898,3,5
1109,898,4,8
1113,902,1,0
1114,902,2,8
1115,902,3,16
1133,920,1,0
1134,920,2,13
1136,922,1,0
1137,922,2,1
1143,928,1,0
1144,928,2,2
1145,928,3,7
1148,931,1,0
1149,931,2,5
1151,933,1,0
1152,933,2,55
1159,940,1,0
1160,940,2,1
1174,954,1,0
1175,954,2,27
1181,960,1,0
1182,960,2,7
1184,962,1,0
1185,962,2,9
1189,966,1,0
1190,966,2,20
1196,972,1,0
1197,972,2,2
1198,972,3,7
1200,974,1,0
1201,974,2,18
1204,977,1,0
1205,977,2,8
1206,977,3,6
1209,980,1,0
1210,980,2,8
1213,983,1,0
1214,983,2,11
1215,983,3,8
1217,985,1,0
1218,985,2,5
1220,987,1,0
1221,987,2,13
1223,989,1,0
1224,989,2,39
1240,1005,1,0
1241,1005,2,1
1249,1013,1,0
1250,1013,2,13
1251,1014,1,0
1252,1014,2,3
1254,1016,1,0
1255,1016,2,5
1256,1016,3,1
1259,1019,1,0
1260,1019,2,28
1261,1019,3,19
1272,1030,1,0
1273,1030,2,8
1275,1032,1,0
1276,1032,2,5
1277,1032,3,6
1285,1040,1,0
1286,1040,2,22
1288,1042,1,0
1289,1042,2,8
1290,1043,1,0
1291,1043,2,40
1299,1051,1,0
1300,1051,2,1
1301,1051,3,1
1304,1054,1,0
1305,1054,2,23
1315,1064,1,0
1316,1064,2,12
1323,1071,1,0
1324,1071,2,4
1325,1071,3,13
1333,1079,1,0
1334,1079,2,11
1343,1088,1,0
1344,1088,2,4
1345,1089,1,0
1346,1089,2,10
1371,1114,1,0
1372,1114,2,25
1388,1130,1,0
1389,1130,2,4
1390,1130,3,7
1392,1132,1,0
1393,1132,2,4
1399,1138,1,0
1400,1138,2,5
1407,1145,1,0
1408,1145,2,6
1410,1147,1,0
1411,1147,2,6
1418,1154,1,0
1419,1154,2,10
1428,1163,1,0
1429,1163,2,12
1430,1163,3,12
1433,1166,1,0
1434,1166,2,22
1440,1172,1,0
1441,1172,2,54
1443,1174,1,0
1444,1174,2,46
1450,1180,1,0
1451,1180,2,1
1452,1180,3,14
1453,1180,4,19
1454,1180,5,2
1458,1184,1,0
1459,1184,2,7
1460,1184,3,16
1461,1185,1,0
1462,1185,2,3
1464,1187,1,0
1465,1187,2,31
1466,1188,1,0
1467,1188,2,46
1492,1213,1,0
1493,1213,2,14
1494,1214,1,0
1495,1214,2,7
1498,1217,1,0
1499,1217,2,6
1517,1235,1,0
1518,1235,2,41
1523,1240,1,0
1524,1240,2,42
1541,1257,1,0
1542,1257,2,24
1550,1265,1,0
1551,1265,2,10
1552,1265,3,16
1553,1265,4,6
1554,1265,5,7
1558,1269,1,0
1559,1269,2,1
1560,1269,3,7
1561,1269,4,16
1564,1272,1,0
1565,1272,2,8
1566,1272,3,22
1567,1272,4,17
1568,1273,1,0
1569,1273,2,18
1588,1292,1,0
1589,1292,2,10
1594,1297,1,0
1595,1297,2,2
1598,1300,1,0
1599,1300,2,30
1602,1303,1,0
1603,1303,2,18
1610,1310,1,0
1611,1310,2,13
1613,1312,1,0
1614,1312,2,19
1618,1316,1,0
1619,1316,2,20
1620,1316,3,1
1621,1317,1,0
1622,1317,2,10
1624,1319,1,0
1625,1319,2,6
1629,1323,1,0
1630,1323,2,31
1635,1328,1,0
1636,1328,2,25
1637,1328,3,9
1639,1330,1,0
1640,1330,2,17
1643,1333,1,0
1644,1333,2,7
1645,1334,1,0
1646,1334,2,21
1648,1336,1,0
1649,1336,2,23
1650,1336,3,28
1653,1339,1,0
1654,1339,2,1
1655,1339,3,18
1663,1347,1,0
1664,1347,2,26
1665,1347,3,17
1667,1349,1,0
1668,1349,2,1
1669,1349,3,33
1670,1350,1,0
1671,1350,2,41
1672,1350,3,1
1680,1358,1,0
1681,1358,2,5
1685,1362,1,0
1686,1362,2,17
1704,1380,1,0
1705,1380,2,3
1708,1383,1,0
1709,1383,2,2
1710,1383,3,2
1711,1384,1,0
1712,1384,2,9
1713,1384,3,4
1717,1388,1,0
1718,1388,2,1
1719,1388,3,1
1720,1388,4,1
1726,1394,1,0
1727,1394,2,33
1742,1409,1,0
1743,1409,2,4
1756,1422,1,0
