1149,931,2,5,1
1151,933,1,0,1
1152,933,2,55,1
1159,940,1,0,1
1160,940,2,1,0
1174,954,1,0,1
1175,954,2,27,1
1181,960,1,0,1
1182,960,2,7,1
1184,962,1,0,1
1185,962,2,9,1
1189,966,1,0,1
1190,966,2,20,1
1196,972,1,0,1
1197,972,2,2,0
1198,972,3,7,1
1200,974,1,0,1
1201,974,2,18,1
1204,977,1,0,1
1205,977,2,8,1
1206,977,3,6,1
1209,980,1,0,1
1210,980,2,8,1
1213,983,1,0,1
1214,983,2,11,1
1215,983,3,8,1
1217,985,1,0,1
1218,985,2,5,1
1220,987,1,0,1
1221,987,2,13,1
1223,989,1,0,1
1224,989,2,39,1
1240,1005,1,0,1
1241,1005,2,1,0
1249,1013,1,0,1
1250,1013,2,13,1
1251,1014,1,0,1
1252,1014,2,3,0
1254,1016,1,0,1
1255,1016,2,5,1
1256,1016,3,1,0
1259,1019,1,0,1
1260,1019,2,28,1
1261,1019,3,19,1
1272,1030,1,0,1
1273,1030,2,8,1
1275,1032,1,0,1
1276,1032,2,5,1
1277,1032,3,6,1
1285,1040,1,0,1
1286,1040,2,22,1
1288,1042,1,0,1
1289,1042,2,8,1
1290,1043,1,0,1
1291,1043,2,40,1
1299,1051,1,0,1
1300,1051,2,1,0
1301,1051,3,1,0
1304,1054,1,0,1
1305,1054,2,23,1
1315,1064,1,0,1
1316,1064,2,12,1
1323,1071,1,0,1
1324,1071,2,4,0
1325,1071,3,13,1
1333,1079,1,0,1
1334,1079,2,11,1
1343,1088,1,0,1
1344,1088,2,4,0
1345,1089,1,0,1
1346,1089,2,10,1
1371,1114,1,0,1
1372,1114,2,25,1
1388,1130,1,0,1
1389,1130,2,4,0
1390,1130,3,7,1
1392,1132,1,0,1
1393,1132,2,4,0
1399,1138,1,0,1
1400,1138,2,5,1
1407,1145,1,0,1
1408,1145,2,6,1
1410,1147,1,0,1
1411,1147,2,6,1
1418,1154,1,0,1
1419,1154,2,10,1
1428,1163,1,0,1
1429,1163,2,12,1
1430,1163,3,12,1
1433,1166,1,0,1
1434,1166,2,22,1
1440,1172,1,0,1
1441,1172,2,54,1
1443,1174,1,0,1
1444,1174,2,46,1
1450,1180,1,0,1
1451,1180,2,1,0
1452,1180,3,14,1
1453,1180,4,19,1
1454,1180,5,2,0
1458,1184,1,0,1
1459,1184,2,7,1
1460,1184,3,16,1
1461,1185,1,0,1
1462,1185,2,3,0
1464,1187,1,0,1
1465,1187,2,31,1
1466,1188,1,0,1
1467,1188,2,46,1
1492,1213,1,0,1
1493,1213,2,14,1
1494,1214,1,0,1
1495,1214,2,7,1
1498,1217,1,0,1
1499,1217,2,6,1
1517,1235,1,0,1
1518,1235,2,41,1
1523,1240,1,0,1
1524,1240,2,42,1
1541,1257,1,0,1
1542,1257,2,24,1
1550,1265,1,0,1
1551,1265,2,10,1
1552,1265,3,16,1
1553,1265,4,6,1
1554,1265,5,7,1
1558,1269,1,0,1
1559,1269,2,1,0
1560,1269,3,7,1
1561,1269,4,16,1
1564,1272,1,0,1
1565,1272,2,8,1
1566,1272,3,22,1
1567,1272,4,17,1
1568,1273,1,0,1
1569,1273,2,18,1
1588,1292,1,0,1
1589,1292,2,10,1
1594,1297,1,0,1
1595,1297,2,2,0
1598,1300,1,0,1
1599,1300,2,30,1
1602,1303,1,0,1
1603,1303,2,18,1
1610,1310,1,0,1
1611,1310,2,13,1
1613,1312,1,0,1
1614,1312,2,19,1
1618,1316,1,0,1
1619,1316,2,20,1
1620,1316,3,1,0
1621,1317,1,0,1
